SIGN ID,LOCATION DESCRIPTION,LIMIT,LATITUDE,LONGITUDE
66683,AIRLIE ROAD,60,-37.66904,145.528052
61826,AIRLIE GROVE,40,-38.090681,145.134515
61827,AIRLIE GROVE,50,-38.092017,145.134255
55564,AIRLIE ROAD,60,-37.669589,145.512211
55565,AIRLIE ROAD,70,-37.671053,145.516672
55567,AIRLIE ROAD,70,-37.670626,145.523015
18685,AIRLIE BANK ROAD,40,-38.227574,146.432121
18713,AIRLIE BANK ROAD,60,-38.22714,146.428745
23195,AIRLY ESTATE ROAD,100,-38.027719,147.116062
23194,AIRLY ESTATE ROAD,60,-38.025837,147.114303
23192,AIRLY ESTATE ROAD,60,-38.02406,147.11341
35294,AITCHISON STREET,40,-37.902766,143.721534
30581,AITKEN STREET,60,-37.496821,144.589563
96134,AITKEN BOULEVARD,60,-37.568043,144.920157
96136,AITKEN BOULEVARD,60,-37.56846,144.920075
96137,AITKEN BOULEVARD,60,-37.571844,144.920405
96139,AITKEN BOULEVARD,60,-37.577498,144.919808
42767,AITKINS ROAD,50,-38.373656,142.472822
42770,AITKINS ROAD,60,-38.3732,142.468628
42771,AITKINS ROAD,60,-38.372628,142.463199
56624,AJANA STREET,50,-37.8029,145.097861
96351,AJAX ROAD,80,-37.32699,144.127816
96353,AJAX ROAD,80,-37.319705,144.128181
9799,AKUNA STREET,50,-37.86328,144.817464
23638,AKUNA AVENUE,50,-36.217791,147.176219
23640,AKUNA AVENUE,40,-36.21746,147.174168
13393,ALAMEIN ROAD,40,-37.741192,145.040857
13394,ALAMEIN ROAD,40,-37.740057,145.04105
26416,ALAMEIN ROAD,40,-37.004621,145.04154
26424,ALAMEIN ROAD,40,-37.001979,145.029005
12969,ALANBRAE TERRACE,50,-37.669834,144.886222
55354,ALAWARRA COURT,50,-37.793529,145.229836
12235,ALBAN STREET,50,-37.720228,145.121392
12234,ALBAN STREET,40,-37.718497,145.121155
12090,ALBAN STREET,40,-37.717488,145.121327
51978,ALBANY DRIVE,40,-37.926526,145.173415
60913,ALBANY DRIVE,50,-37.929398,145.172776
51936,ALBANY ROAD,40,-37.85056,145.024232
82916,ALBER ROAD,70,-37.983944,145.40012
82917,ALBER ROAD,70,-37.981054,145.398532
64977,ALBER ROAD,50,-37.991028,145.411552
82921,ALBER ROAD,70,-37.981586,145.398393
15356,ALBERT ROAD,40,-36.147798,146.606162
34895,ALBERT STREET,40,-38.385063,142.228749
42773,ALBERT STREET,60,-38.370394,142.45896
19030,ALBERT STREET,50,-38.174988,146.265606
19020,ALBERT STREET,40,-38.174833,146.263593
17600,ALBERT ROAD,60,-38.162375,145.948007
17603,ALBERT ROAD,60,-38.161867,145.943092
17610,ALBERT STREET,60,-38.160182,145.934931
17637,ALBERT STREET,60,-38.159021,145.930575
17566,ALBERT STREET,40,-38.158561,145.928857
17565,ALBERT STREET,40,-38.158439,145.9284
1009,ALBERT STREET,40,-37.828361,144.997573
12489,ALBERT STREET,40,-37.744993,144.885359
12507,ALBERT STREET,40,-37.743869,144.885543
23954,ALBERT STREET,50,-37.655266,144.449029
23956,ALBERT STREET,40,-37.654033,144.439115
23958,ALBERT STREET,40,-37.653964,144.438431
23963,ALBERT STREET,50,-37.65239,144.435874
23965,ALBERT STREET,60,-37.650335,144.433457
6963,ALBERT ROAD,60,-37.548994,144.734012
34403,ALBERT STREET,80,-36.979037,143.974165
34404,ALBERT STREET,80,-36.978589,143.971389
28277,ALBERT STREET,60,-36.746617,144.250593
24228,ALBERT STREET,50,-36.699094,142.205447
27374,ALBERT STREET,40,-36.698594,142.205641
27376,ALBERT STREET,40,-36.697068,142.205699
27611,ALBERT STREET,60,-36.626773,143.253619
27612,ALBERT STREET,50,-36.623637,143.25436
15058,ALBERT STREET,50,-36.445535,145.230399
15057,ALBERT STREET,40,-36.443781,145.230388
15053,ALBERT STREET,40,-36.44315,145.230385
15352,ALBERT ROAD,50,-36.150069,146.598056
15350,ALBERT ROAD,40,-36.148513,146.605039
32449,ALBERT STREET,40,-35.894599,141.997006
32447,ALBERT STREET,40,-35.894601,141.995691
25417,ALBERT STREET,50,-35.733177,143.921776
25419,ALBERT STREET,40,-35.731066,143.921773
25421,ALBERT STREET,40,-35.730436,143.921772
33653,ALBERT STREET,40,-34.212696,142.127147
66906,ALBERT AVENUE,60,-37.862243,145.291953
66908,ALBERT AVENUE,40,-37.859564,145.293867
66909,ALBERT AVENUE,40,-37.858879,145.294357
66912,ALBERT AVENUE,60,-37.85691,145.295762
66915,ALBERT AVENUE,60,-37.8558,145.296543
57351,ALBERT ROAD,60,-38.128659,145.855707
68987,ALBERT ROAD,60,-38.126848,145.857534
68995,ALBERT ROAD,50,-38.131946,145.852337
55563,ALBERT ROAD,60,-37.67709,145.523485
56865,ALBERT ROAD,80,-36.146142,146.608867
66680,ALBERT ROAD,60,-37.678608,145.514847
58131,ALBERT STREET,60,-37.480085,143.797627
58135,ALBERT STREET,80,-37.478226,143.790771
63814,ALBERT STREET,40,-38.008754,145.091961
69684,ALBERT STREET,60,-37.480906,143.800586
69685,ALBERT STREET,60,-37.479097,143.793973
69687,ALBERT STREET,100,-37.477512,143.788043
93145,ALBERT STREET,50,-37.811221,144.99076
93146,ALBERT STREET,50,-37.811148,144.990114
93147,ALBERT STREET,50,-37.810963,144.988463
93148,ALBERT STREET,50,-37.81063,144.985495
93149,ALBERT STREET,50,-37.810351,144.982996
93150,ALBERT STREET,50,-37.810098,144.980705
93151,ALBERT STREET,50,-37.809927,144.979217
93152,ALBERT STREET,50,-37.809766,144.977744
93153,ALBERT STREET,50,-37.809618,144.976384
93154,ALBERT STREET,50,-37.809505,144.975355
53559,ALBERT STREET,40,-38.006709,145.08836
88786,ALBERT STREET,40,-37.768874,144.961983
88788,ALBERT STREET,40,-37.769433,144.967195
88792,ALBERT STREET,40,-37.769964,144.972148
88794,ALBERT STREET,40,-37.770302,144.975306
93972,ALBERT ,40,-37.803516,144.897496
93977,ALBERT ,40,-37.802205,144.897739
93979,ALBERT ,40,-37.801454,144.897876
8070,ALBION STREET,40,-37.759544,144.952261
8068,ALBION STREET,40,-37.759446,144.951429
8066,ALBION STREET,40,-37.759385,144.950908
8065,ALBION STREET,40,-37.759325,144.950408
8064,ALBION STREET,40,-37.759215,144.949469
8063,ALBION STREET,40,-37.759097,144.948472
8060,ALBION STREET,40,-37.759008,144.947732
8059,ALBION STREET,40,-37.758852,144.946413
